incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Accident,1,"Street 59, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,0
Accident,5,"Street 50, near the City Center",General emergency reported,Unknown,Multiple bystanders,16,0,3,4,3
Other,1,"Street 62, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,0,0,0
Medical,1,"Street 394, near the Highway",Allergic reaction,None,1 person involved,5,1,0,2,0
Medical,4,"Street 78, near the Industrial Zone",Unconscious person,None,1 person involved,21,0,1,4,2
Crime,4,"Street 115, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,20,0,4,2,2
Crime,4,"Street 421, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 1 witnesses,9,0,4,2,2
Crime,4,"Street 344, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 2 witnesses,9,0,4,2,2
Crime,4,"Street 478, near the Forest",Public disturbance,None,Suspect and 1 witnesses,8,1,4,2,2
Fire,3,"Street 469, near the Highway",Building engulfed,Chemical smell,7 people evacuated,20,0,1,1,5
Crime,1,"Street 423, near the Forest",Break-in,None,Suspect and 1 witnesses,22,0,3,0,0
Fire,2,"Street 211, near the Forest",Building engulfed,Thick smoke,9 people evacuated,4,0,0,1,5
Medical,5,"Street 372, near the Highway",Cardiac arrest,None,1 person involved,6,1,2,4,3
Crime,2,"Street 496, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 1 witnesses,5,1,3,1,1
Crime,3,"Street 140, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,1,1,4,1,1
Fire,4,"Street 484, near the Industrial Zone",Spreading to trees,Thick smoke,9 people evacuated,10,1,1,2,6
Accident,1,"Street 157, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,1,1,2,0
Other,4,"Street 260, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,0,1,2,2
Medical,3,"Street 77, near the Highway",Cardiac arrest,None,1 person involved,1,1,1,3,1
Fire,1,"Street 354, near the Industrial Zone",Small kitchen fire,Chemical smell,4 people evacuated,0,1,0,0,4
Medical,2,"Street 289, near the Highway",Cardiac arrest,None,1 person involved,9,0,0,3,1
Medical,2,"Street 98, near the City Center",Cardiac arrest,None,1 person involved,14,1,0,3,1
Fire,2,"Street 124, near the Residential Area",Spreading to trees,Chemical smell,3 people evacuated,2,1,0,1,5
Crime,1,"Street 61, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,1,0,3,0,0
Other,2,"Street 65, near the Forest",General emergency reported,Unknown,Multiple bystanders,17,1,0,1,1
Medical,4,"Street 218, near the Industrial Zone",Allergic reaction,None,1 person involved,1,1,1,4,2
Crime,1,"Street 54, near the Industrial Zone",Public disturbance,None,Suspect and 2 witnesses,7,0,3,0,0
Fire,3,"Street 346, near the City Center",Spreading to trees,Chemical smell,6 people evacuated,10,0,1,1,5
Medical,4,"Street 118, near the Forest",Allergic reaction,None,1 person involved,13,0,1,4,2
Other,2,"Street 226, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,1,0,1,1
Medical,2,"Street 321, near the Forest",Cardiac arrest,None,1 person involved,8,1,0,3,1
Medical,2,"Street 193, near the Highway",Unconscious person,None,1 person involved,6,0,0,3,1
Fire,4,"Street 208, near the Forest",Small kitchen fire,Explosion risk,8 people evacuated,13,0,1,2,6
Other,1,"Street 173, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,0,1,0,0,0
Other,4,"Street 88, near the City Center",General emergency reported,Unknown,Multiple bystanders,20,1,1,2,2
Accident,3,"Street 276, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,0,2,3,1
Fire,4,"Street 318, near the Industrial Zone",Spreading to trees,Chemical smell,7 people evacuated,14,0,1,2,6
Accident,2,"Street 257, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,1,0,1,2,1
Medical,2,"Street 231, near the Forest",Cardiac arrest,None,1 person involved,21,1,0,3,1
Other,2,"Street 63, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,1,0,1,1
Crime,2,"Street 106, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,23,1,3,1,1
Other,4,"Street 338, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,1,1,2,2
Fire,5,"Street 470, near the Forest",Small kitchen fire,Thick smoke,7 people evacuated,7,1,2,2,7
Accident,5,"Street 211, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,4,0,3,4,3
Medical,5,"Street 419, near the Industrial Zone",Unconscious person,None,1 person involved,3,1,2,4,3
Fire,1,"Street 171, near the Highway",Spreading to trees,Thick smoke,3 people evacuated,19,1,0,0,4
Accident,3,"Street 210, near the City Center",General emergency reported,Unknown,Multiple bystanders,12,1,2,3,1
Fire,2,"Street 347, near the Highway",Small kitchen fire,Thick smoke,6 people evacuated,18,1,0,1,5
Fire,1,"Street 457, near the Residential Area",Building engulfed,Explosion risk,9 people evacuated,19,1,0,0,4
Other,2,"Street 391, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,1,0,1,1
Crime,1,"Street 37, near the Highway",Break-in,None,Suspect and 1 witnesses,2,0,3,0,0
Crime,4,"Street 207, near the City Center",Armed robbery in progress,None,Suspect and 2 witnesses,15,0,4,2,2
Fire,2,"Street 78, near the City Center",Building engulfed,Thick smoke,3 people evacuated,16,1,0,1,5
Crime,4,"Street 60, near the Highway",Break-in,Aggressive behavior,Suspect and 1 witnesses,5,0,4,2,2
Crime,4,"Street 240, near the Forest",Break-in,Weapons sighted,Suspect and 1 witnesses,6,1,4,2,2
Medical,1,"Street 480, near the Residential Area",Cardiac arrest,None,1 person involved,10,1,0,2,0
Fire,3,"Street 336, near the Highway",Building engulfed,Thick smoke,8 people evacuated,20,0,1,1,5
Fire,1,"Street 253, near the Industrial Zone",Small kitchen fire,Chemical smell,7 people evacuated,22,0,0,0,4
Medical,4,"Street 102, near the Highway",Cardiac arrest,None,1 person involved,23,0,1,4,2
Crime,3,"Street 306, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 2 witnesses,13,0,4,1,1
Accident,4,"Street 216, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,22,1,2,3,2
Other,4,"Street 294, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,13,1,1,2,2
Other,5,"Street 34, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,2,0,2,2,3
Other,3,"Street 76, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,0,1,1,1
Crime,3,"Street 283, near the Forest",Public disturbance,None,Suspect and 2 witnesses,23,0,4,1,1
Crime,1,"Street 22, near the Forest",Break-in,Weapons sighted,Suspect and 1 witnesses,21,1,3,0,0
Fire,5,"Street 44, near the City Center",Spreading to trees,Explosion risk,3 people evacuated,6,1,2,2,7
Crime,3,"Street 336, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,12,1,4,1,1
Other,3,"Street 388, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,0,1,1,1
Crime,2,"Street 483, near the City Center",Public disturbance,Weapons sighted,Suspect and 2 witnesses,14,0,3,1,1
Medical,5,"Street 134, near the Residential Area",Unconscious person,None,1 person involved,3,1,2,4,3
Crime,2,"Street 54, near the Highway",Break-in,None,Suspect and 1 witnesses,21,0,3,1,1
Accident,5,"Street 314, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,1,3,4,3
Crime,2,"Street 482, near the City Center",Public disturbance,None,Suspect and 1 witnesses,22,1,3,1,1
Other,2,"Street 400, near the City Center",General emergency reported,Unknown,Multiple bystanders,7,1,0,1,1
Other,5,"Street 60, near the City Center",General emergency reported,Unknown,Multiple bystanders,15,0,2,2,3
Crime,5,"Street 438, near the City Center",Public disturbance,None,Suspect and 1 witnesses,21,1,5,2,3
Other,4,"Street 420, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,1,1,2,2
Other,3,"Street 349, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,0,1,1,1
Other,2,"Street 366, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,1,0,1,1
Fire,5,"Street 261, near the Industrial Zone",Building engulfed,Chemical smell,7 people evacuated,3,0,2,2,7
Other,5,"Street 135, near the Forest",General emergency reported,Unknown,Multiple bystanders,13,0,2,2,3
Crime,3,"Street 85, near the Highway",Break-in,Aggressive behavior,Suspect and 2 witnesses,4,0,4,1,1
Other,5,"Street 254, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,21,0,2,2,3
Medical,3,"Street 362, near the Highway",Allergic reaction,None,1 person involved,7,0,1,3,1
Fire,3,"Street 486, near the City Center",Small kitchen fire,Explosion risk,4 people evacuated,15,1,1,1,5
Other,5,"Street 172, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,0,2,2,3
Fire,2,"Street 338, near the Forest",Building engulfed,Explosion risk,7 people evacuated,4,0,0,1,5
Crime,1,"Street 89, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,22,1,3,0,0
Medical,1,"Street 478, near the City Center",Unconscious person,None,1 person involved,10,0,0,2,0
Other,3,"Street 495, near the City Center",General emergency reported,Unknown,Multiple bystanders,7,0,1,1,1
Medical,1,"Street 448, near the Industrial Zone",Unconscious person,None,1 person involved,12,0,0,2,0
Fire,5,"Street 477, near the Industrial Zone",Spreading to trees,Thick smoke,4 people evacuated,4,1,2,2,7
Fire,1,"Street 231, near the Highway",Small kitchen fire,Chemical smell,2 people evacuated,8,1,0,0,4
Fire,3,"Street 284, near the Highway",Small kitchen fire,Chemical smell,1 people evacuated,3,1,1,1,5
Accident,4,"Street 320, near the Forest",General emergency reported,Unknown,Multiple bystanders,20,1,2,3,2
Crime,4,"Street 68, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,23,0,4,2,2
Medical,5,"Street 478, near the Residential Area",Unconscious person,None,1 person involved,14,1,2,4,3
Other,2,"Street 262, near the Forest",General emergency reported,Unknown,Multiple bystanders,3,1,0,1,1
Fire,5,"Street 466, near the City Center",Building engulfed,Explosion risk,1 people evacuated,14,0,2,2,7
Fire,3,"Street 318, near the Industrial Zone",Spreading to trees,Thick smoke,3 people evacuated,1,1,1,1,5
Other,4,"Street 97, near the Forest",General emergency reported,Unknown,Multiple bystanders,22,1,1,2,2
Crime,5,"Street 341, near the Residential Area",Armed robbery in progress,None,Suspect and 2 witnesses,19,0,5,2,3
Crime,5,"Street 362, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,21,1,5,2,3
Accident,5,"Street 219, near the Highway",General emergency reported,Unknown,Multiple bystanders,11,1,3,4,3
Medical,1,"Street 444, near the Forest",Unconscious person,None,1 person involved,1,0,0,2,0
Fire,5,"Street 220, near the Highway",Building engulfed,Explosion risk,2 people evacuated,0,1,2,2,7
Other,1,"Street 152, near the Highway",General emergency reported,Unknown,Multiple bystanders,23,0,0,0,0
Fire,3,"Street 15, near the City Center",Spreading to trees,Chemical smell,7 people evacuated,14,1,1,1,5
Accident,3,"Street 325, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,23,1,2,3,1
Accident,2,"Street 299, near the City Center",General emergency reported,Unknown,Multiple bystanders,20,1,1,2,1
Accident,3,"Street 210, near the Forest",General emergency reported,Unknown,Multiple bystanders,6,0,2,3,1
Crime,3,"Street 151, near the Residential Area",Break-in,Aggressive behavior,Suspect and 2 witnesses,15,0,4,1,1
Other,5,"Street 261, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,0,2,2,3
Accident,3,"Street 92, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,7,0,2,3,1
Crime,5,"Street 458, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,9,1,5,2,3
Fire,5,"Street 266, near the Forest",Building engulfed,Thick smoke,3 people evacuated,2,1,2,2,7
Accident,3,"Street 167, near the Highway",General emergency reported,Unknown,Multiple bystanders,1,0,2,3,1
Accident,3,"Street 131, near the City Center",General emergency reported,Unknown,Multiple bystanders,9,0,2,3,1
Accident,3,"Street 181, near the Highway",General emergency reported,Unknown,Multiple bystanders,22,0,2,3,1
Fire,3,"Street 458, near the Highway",Small kitchen fire,Explosion risk,2 people evacuated,2,0,1,1,5
Fire,3,"Street 52, near the City Center",Building engulfed,Thick smoke,3 people evacuated,20,0,1,1,5
Fire,1,"Street 374, near the Industrial Zone",Small kitchen fire,Thick smoke,5 people evacuated,8,1,0,0,4
Medical,5,"Street 332, near the Highway",Unconscious person,None,1 person involved,2,1,2,4,3
Crime,3,"Street 468, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,9,1,4,1,1
Accident,2,"Street 422, near the Forest",General emergency reported,Unknown,Multiple bystanders,23,1,1,2,1
Other,5,"Street 317, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,9,1,2,2,3
Crime,5,"Street 307, near the Highway",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,15,0,5,2,3
Accident,2,"Street 466, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,19,1,1,2,1
Fire,1,"Street 106, near the City Center",Small kitchen fire,Explosion risk,4 people evacuated,22,0,0,0,4
Crime,4,"Street 354, near the Residential Area",Armed robbery in progress,None,Suspect and 1 witnesses,12,0,4,2,2
Accident,3,"Street 190, near the City Center",General emergency reported,Unknown,Multiple bystanders,9,0,2,3,1
Crime,5,"Street 17, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,11,1,5,2,3
Medical,4,"Street 499, near the Highway",Allergic reaction,None,1 person involved,19,1,1,4,2
Crime,4,"Street 197, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,14,1,4,2,2
Crime,5,"Street 386, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,22,0,5,2,3
Fire,2,"Street 261, near the Highway",Small kitchen fire,Explosion risk,1 people evacuated,6,0,0,1,5
Other,1,"Street 42, near the City Center",General emergency reported,Unknown,Multiple bystanders,7,1,0,0,0
Fire,3,"Street 369, near the Forest",Spreading to trees,Explosion risk,3 people evacuated,20,1,1,1,5
Fire,4,"Street 19, near the Residential Area",Spreading to trees,Chemical smell,5 people evacuated,5,1,1,2,6
Accident,3,"Street 23, near the City Center",General emergency reported,Unknown,Multiple bystanders,4,0,2,3,1
Accident,4,"Street 215, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,14,1,2,3,2
Accident,3,"Street 208, near the Highway",General emergency reported,Unknown,Multiple bystanders,14,0,2,3,1
Medical,3,"Street 199, near the Residential Area",Cardiac arrest,None,1 person involved,19,1,1,3,1
Fire,1,"Street 447, near the City Center",Building engulfed,Chemical smell,2 people evacuated,13,1,0,0,4
Other,5,"Street 250, near the Forest",General emergency reported,Unknown,Multiple bystanders,16,0,2,2,3
Medical,3,"Street 493, near the City Center",Allergic reaction,None,1 person involved,4,0,1,3,1
Medical,2,"Street 3, near the City Center",Unconscious person,None,1 person involved,2,0,0,3,1
Accident,1,"Street 461, near the Forest",General emergency reported,Unknown,Multiple bystanders,21,0,1,2,0
Other,5,"Street 23, near the City Center",General emergency reported,Unknown,Multiple bystanders,9,1,2,2,3
Other,1,"Street 255, near the Highway",General emergency reported,Unknown,Multiple bystanders,11,1,0,0,0
Medical,5,"Street 60, near the Forest",Allergic reaction,None,1 person involved,19,1,2,4,3
Other,3,"Street 303, near the Highway",General emergency reported,Unknown,Multiple bystanders,16,1,1,1,1
Medical,1,"Street 391, near the Forest",Unconscious person,None,1 person involved,14,1,0,2,0
Crime,2,"Street 471, near the City Center",Break-in,None,Suspect and 1 witnesses,0,0,3,1,1
Accident,2,"Street 294, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,1
Other,4,"Street 435, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,1,1,2,2
Accident,4,"Street 230, near the City Center",General emergency reported,Unknown,Multiple bystanders,9,1,2,3,2
Accident,5,"Street 134, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,1,3,4,3
Crime,1,"Street 436, near the Highway",Public disturbance,Weapons sighted,Suspect and 2 witnesses,3,0,3,0,0
Crime,4,"Street 83, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 1 witnesses,12,1,4,2,2
Fire,5,"Street 112, near the Forest",Spreading to trees,Chemical smell,9 people evacuated,22,1,2,2,7
Other,5,"Street 325, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,1,2,2,3
Crime,1,"Street 1, near the Forest",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,19,0,3,0,0
Medical,2,"Street 110, near the Highway",Cardiac arrest,None,1 person involved,17,1,0,3,1
Other,5,"Street 337, near the City Center",General emergency reported,Unknown,Multiple bystanders,16,1,2,2,3
Medical,3,"Street 249, near the Forest",Unconscious person,None,1 person involved,2,0,1,3,1
Accident,5,"Street 11, near the Forest",General emergency reported,Unknown,Multiple bystanders,3,1,3,4,3
Fire,1,"Street 29, near the Highway",Spreading to trees,Chemical smell,5 people evacuated,14,1,0,0,4
Fire,2,"Street 62, near the Forest",Building engulfed,Thick smoke,5 people evacuated,20,0,0,1,5
Other,5,"Street 32, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,0,2,2,3
Other,5,"Street 308, near the Forest",General emergency reported,Unknown,Multiple bystanders,21,1,2,2,3
Medical,3,"Street 307, near the Highway",Cardiac arrest,None,1 person involved,11,1,1,3,1
Other,3,"Street 471, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,19,1,1,1,1
Crime,2,"Street 390, near the Industrial Zone",Public disturbance,None,Suspect and 2 witnesses,0,1,3,1,1
Accident,4,"Street 39, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,20,0,2,3,2
Medical,1,"Street 444, near the Industrial Zone",Cardiac arrest,None,1 person involved,12,1,0,2,0
Crime,1,"Street 95, near the Forest",Break-in,Weapons sighted,Suspect and 1 witnesses,17,1,3,0,0
Medical,2,"Street 364, near the City Center",Allergic reaction,None,1 person involved,5,0,0,3,1
Crime,3,"Street 269, near the Forest",Armed robbery in progress,None,Suspect and 1 witnesses,18,0,4,1,1
Other,5,"Street 216, near the Forest",General emergency reported,Unknown,Multiple bystanders,20,0,2,2,3
Accident,3,"Street 178, near the Forest",General emergency reported,Unknown,Multiple bystanders,10,0,2,3,1
Other,5,"Street 420, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,12,0,2,2,3
Medical,5,"Street 98, near the City Center",Allergic reaction,None,1 person involved,1,0,2,4,3
Accident,3,"Street 136, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,10,1,2,3,1
Accident,2,"Street 309, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,7,0,1,2,1
Other,1,"Street 82, near the Highway",General emergency reported,Unknown,Multiple bystanders,16,1,0,0,0
Accident,1,"Street 483, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,1,1,2,0
Accident,1,"Street 265, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,0
Other,5,"Street 155, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,1,2,2,3
Other,1,"Street 190, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,1,0,0,0
Medical,1,"Street 273, near the Forest",Allergic reaction,None,1 person involved,20,1,0,2,0
Other,4,"Street 199, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,1,1,2,2
Crime,5,"Street 203, near the Forest",Armed robbery in progress,None,Suspect and 2 witnesses,0,1,5,2,3
Other,1,"Street 388, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,7,1,0,0,0
Fire,2,"Street 375, near the City Center",Building engulfed,Explosion risk,2 people evacuated,23,0,0,1,5
Accident,4,"Street 401, near the Forest",General emergency reported,Unknown,Multiple bystanders,16,1,2,3,2
Crime,2,"Street 220, near the Forest",Break-in,Weapons sighted,Suspect and 2 witnesses,23,0,3,1,1
Other,2,"Street 212, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,1,0,1,1
Crime,4,"Street 228, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,20,0,4,2,2
Other,2,"Street 224, near the Forest",General emergency reported,Unknown,Multiple bystanders,17,0,0,1,1
Crime,2,"Street 434, near the Forest",Armed robbery in progress,None,Suspect and 2 witnesses,7,0,3,1,1
Medical,4,"Street 155, near the Industrial Zone",Cardiac arrest,None,1 person involved,11,1,1,4,2
Fire,5,"Street 36, near the City Center",Building engulfed,Chemical smell,4 people evacuated,6,1,2,2,7
Fire,1,"Street 116, near the Forest",Spreading to trees,Chemical smell,5 people evacuated,15,1,0,0,4
Accident,5,"Street 203, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,1,3,4,3
Medical,2,"Street 68, near the Highway",Unconscious person,None,1 person involved,2,0,0,3,1
Crime,1,"Street 436, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,8,0,3,0,0
Medical,3,"Street 56, near the City Center",Cardiac arrest,None,1 person involved,0,1,1,3,1
Crime,3,"Street 347, near the Industrial Zone",Armed robbery in progress,None,Suspect and 2 witnesses,2,1,4,1,1
Fire,3,"Street 346, near the Industrial Zone",Building engulfed,Thick smoke,5 people evacuated,12,1,1,1,5
Fire,1,"Street 402, near the Industrial Zone",Small kitchen fire,Chemical smell,5 people evacuated,19,0,0,0,4
Accident,3,"Street 455, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,0,2,3,1
Medical,4,"Street 361, near the Forest",Unconscious person,None,1 person involved,11,1,1,4,2
Accident,1,"Street 450, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,2,1,1,2,0
Fire,5,"Street 279, near the Residential Area",Spreading to trees,Chemical smell,7 people evacuated,19,1,2,2,7
Accident,4,"Street 275, near the Highway",General emergency reported,Unknown,Multiple bystanders,13,1,2,3,2
Medical,3,"Street 73, near the Industrial Zone",Allergic reaction,None,1 person involved,6,1,1,3,1
Fire,1,"Street 16, near the City Center",Small kitchen fire,Chemical smell,8 people evacuated,10,1,0,0,4
Medical,3,"Street 119, near the Highway",Cardiac arrest,None,1 person involved,16,1,1,3,1
Accident,3,"Street 125, near the City Center",General emergency reported,Unknown,Multiple bystanders,21,1,2,3,1
Fire,2,"Street 490, near the Industrial Zone",Building engulfed,Thick smoke,3 people evacuated,23,1,0,1,5
Crime,5,"Street 351, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,12,1,5,2,3
Other,4,"Street 281, near the Highway",General emergency reported,Unknown,Multiple bystanders,14,0,1,2,2
Medical,1,"Street 140, near the Forest",Cardiac arrest,None,1 person involved,1,1,0,2,0
Fire,4,"Street 298, near the Forest",Spreading to trees,Explosion risk,1 people evacuated,20,0,1,2,6
Accident,2,"Street 457, near the Forest",General emergency reported,Unknown,Multiple bystanders,6,1,1,2,1
Other,5,"Street 420, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,22,0,2,2,3
Crime,2,"Street 158, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,22,0,3,1,1
Accident,2,"Street 312, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,13,1,1,2,1
Accident,3,"Street 312, near the City Center",General emergency reported,Unknown,Multiple bystanders,3,0,2,3,1
Accident,2,"Street 45, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,0,1,2,1
Crime,3,"Street 86, near the Highway",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,6,0,4,1,1
Fire,1,"Street 340, near the Industrial Zone",Building engulfed,Thick smoke,8 people evacuated,2,1,0,0,4
Fire,1,"Street 352, near the Industrial Zone",Spreading to trees,Thick smoke,1 people evacuated,8,1,0,0,4
Accident,3,"Street 255, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,12,1,2,3,1
Medical,4,"Street 227, near the Forest",Cardiac arrest,None,1 person involved,1,0,1,4,2
Medical,1,"Street 457, near the Forest",Cardiac arrest,None,1 person involved,16,0,0,2,0
Accident,3,"Street 332, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,1,2,3,1
Crime,3,"Street 261, near the Residential Area",Armed robbery in progress,None,Suspect and 2 witnesses,18,0,4,1,1
Accident,2,"Street 122, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,1
Accident,4,"Street 302, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,1,2,3,2
Other,3,"Street 135, near the Highway",General emergency reported,Unknown,Multiple bystanders,3,1,1,1,1
Medical,1,"Street 97, near the Residential Area",Cardiac arrest,None,1 person involved,1,0,0,2,0
Crime,5,"Street 257, near the Highway",Break-in,Weapons sighted,Suspect and 1 witnesses,5,0,5,2,3
Fire,1,"Street 222, near the Highway",Building engulfed,Thick smoke,2 people evacuated,20,0,0,0,4
Medical,3,"Street 1, near the Industrial Zone",Unconscious person,None,1 person involved,13,1,1,3,1
Fire,3,"Street 315, near the Forest",Spreading to trees,Thick smoke,8 people evacuated,8,0,1,1,5
Accident,4,"Street 279, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,2,1,2,3,2
Fire,1,"Street 194, near the City Center",Spreading to trees,Explosion risk,5 people evacuated,12,1,0,0,4
Fire,2,"Street 450, near the Industrial Zone",Spreading to trees,Thick smoke,6 people evacuated,5,0,0,1,5
Other,2,"Street 82, near the Forest",General emergency reported,Unknown,Multiple bystanders,15,0,0,1,1
Fire,3,"Street 41, near the City Center",Spreading to trees,Thick smoke,5 people evacuated,22,1,1,1,5
Medical,2,"Street 57, near the Industrial Zone",Allergic reaction,None,1 person involved,20,1,0,3,1
Medical,3,"Street 368, near the Residential Area",Cardiac arrest,None,1 person involved,9,0,1,3,1
Fire,4,"Street 28, near the Highway",Building engulfed,Explosion risk,5 people evacuated,20,1,1,2,6
Accident,5,"Street 172, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,0,0,3,4,3
Crime,5,"Street 38, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,14,1,5,2,3
Fire,4,"Street 162, near the Highway",Small kitchen fire,Thick smoke,5 people evacuated,10,0,1,2,6
Medical,3,"Street 23, near the Forest",Unconscious person,None,1 person involved,13,1,1,3,1
Other,3,"Street 319, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,0,1,1,1
Fire,1,"Street 459, near the Industrial Zone",Spreading to trees,Explosion risk,4 people evacuated,15,0,0,0,4
Fire,2,"Street 459, near the Highway",Building engulfed,Explosion risk,3 people evacuated,9,1,0,1,5
Crime,2,"Street 325, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,10,1,3,1,1
Other,5,"Street 329, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,1,2,2,3
Fire,3,"Street 245, near the Highway",Spreading to trees,Explosion risk,7 people evacuated,11,1,1,1,5
Other,4,"Street 254, near the Forest",General emergency reported,Unknown,Multiple bystanders,23,0,1,2,2
Medical,3,"Street 84, near the City Center",Cardiac arrest,None,1 person involved,13,0,1,3,1
Crime,4,"Street 441, near the Forest",Armed robbery in progress,None,Suspect and 1 witnesses,0,0,4,2,2
Accident,4,"Street 54, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,1,2,3,2
Other,3,"Street 416, near the Forest",General emergency reported,Unknown,Multiple bystanders,19,1,1,1,1
Crime,1,"Street 240, near the City Center",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,22,0,3,0,0
Medical,4,"Street 193, near the Forest",Cardiac arrest,None,1 person involved,6,0,1,4,2
Crime,3,"Street 47, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,6,0,4,1,1
